Date,Time,OpenBid,HighBid,LowBid,CloseBid
01/02/2009,10:55:00,1234.26,1234.52,1234.24,1234.52
01/02/2009,10:56:00,1234.15,1234.49,1234.15,1234.33
01/02/2009,10:57:00,1234.59,1234.86,1234.36,1234.36
01/02/2009,10:58:00,1234.08,1235.19,1234.08,1235.19
01/02/2009,10:59:00,1235.16,1235.16,1234.45,1234.67
01/02/2009,11:00:00,1234.32,1234.5,1233.66,1233.66
01/02/2009,11:01:00,1233.72,1234.28,1233.72,1234.28
01/02/2009,11:02:00,1234.33,1234.91,1234.33,1234.71
01/02/2009,11:03:00,1233.97,1234.34,1233.97,1234.34
01/02/2009,11:04:00,1233.91,1233.91,1233.53,1233.53
01/02/2009,11:05:00,1233.28,1233.28,1232.52,1232.68
01/02/2009,11:06:00,1233.17,1233.68,1233.17,1233.66
01/02/2009,11:07:00,1233.98,1234.39,1233.88,1234.39
01/02/2009,11:08:00,1234.68,1234.68,1234.45,1234.58
01/02/2009,11:09:00,1234.17,1235.06,1234.17,1235.06
01/02/2009,11:10:00,1235.18,1235.18,1234.2,1234.2
01/02/2009,11:11:00,1234.62,1234.62,1233.97,1234.14
01/02/2009,11:12:00,1233.84,1233.84,1233.33,1233.44
01/02/2009,11:13:00,1233.61,1233.61,1231.99,1231.99
01/02/2009,11:14:00,1231.75,1232.74,1231.08,1232.74
01/02/2009,11:15:00,1232.34,1232.74,1232.11,1232.74
01/02/2009,11:16:00,1232.2,1232.2,1231.68,1231.68
01/02/2009,11:17:00,1231.62,1231.95,1231.04,1231.04
01/02/2009,11:18:00,1231.09,1231.83,1231.09,1231.57
01/02/2009,11:19:00,1231.56,1231.78,1231.56,1231.76
01/02/2009,11:20:00,1232.09,1232.78,1232.09,1232.78
01/02/2009,11:21:00,1233.3,1233.4,1232.95,1233.4
01/02/2009,11:22:00,1234.19,1234.19,1233.32,1233.32
01/02/2009,11:23:00,1233.51,1233.69,1233.51,1233.64
01/02/2009,11:24:00,1233.53,1233.9,1233.53,1233.9
01/02/2009,11:25:00,1233.89,1234.13,1233.75,1234.13
01/02/2009,11:26:00,1233.75,1234.11,1233.75,1234.11
01/02/2009,11:27:00,1234.29,1234.43,1234.29,1234.38
01/02/2009,11:28:00,1234.44,1234.59,1234.21,1234.56
01/02/2009,11:29:00,1234.32,1234.74,1234.32,1234.74
01/02/2009,11:30:00,1235.05,1235.25,1234.87,1235.25
01/02/2009,11:31:00,1234.5,1234.56,1234.25,1234.32
01/02/2009,11:32:00,1234.21,1234.42,1234.21,1234.22
01/02/2009,11:33:00,1234.19,1234.5,1234.19,1234.5
01/02/2009,11:34:00,1234.86,1235.83,1234.86,1235.83
01/02/2009,11:35:00,1235.8,1238.4,1235.8,1238.04
